,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00294,0.993605,0.00024,2.58189E+03,1.29920E+02,2.59321e+19,2.58732e+19,2.59275e+19,2.57776e+19,8.49318e+16,8.47541e+16,8.48906e+16,8.47796e+16,2752630.0,2746880.0,2751300.0,2747700.0,0.00151,0.00154,0.00151,0.00149,0.00081,0.00079,0.0008,0.0008,0.00081,0.00079,0.0008,0.0008,1.9187455,0.15666506,2.01672461,5.22751495,3.97339989,5.76113217,5.63397612,3.81149634
sample_00295,0.993181,0.00024,2.58165E+03,1.29725E+02,2.51972e+19,2.59382e+19,2.54252e+19,2.45232e+19,8.48188e+16,8.50088e+16,8.46959e+16,8.48625e+16,2748970.0,2755130.0,2744990.0,2750390.0,0.00133,0.00127,0.00125,0.00129,0.00077,0.0008,0.0008,0.00079,0.00077,0.0008,0.0008,0.00079,2.32337032,0.496025387,1.0659199,2.30152165,5.02640022,4.70494229,3.48067692,2.99449388
sample_00296,0.977738,0.00023,2.55978E+03,1.28869E+02,2.57328e+19,2.54574e+19,2.60106e+19,2.54763e+19,8.47256e+16,8.47818e+16,8.50649e+16,8.49258e+16,2745960.0,2747780.0,2756950.0,2752450.0,0.00148,0.00151,0.00156,0.00151,0.00081,0.00081,0.00081,0.0008,0.00081,0.00081,0.00081,0.0008,2.21544064,5.3464853,5.33474427,5.40264705,3.03853399,0.557358087,2.91620884,2.20211389
sample_00297,0.978383,0.00025,2.55596E+03,1.28822E+02,2.5852e+19,2.5606e+19,2.51692e+19,2.52103e+19,8.48898e+16,8.48947e+16,8.49334e+16,8.48601e+16,2751280.0,2751440.0,2752690.0,2750320.0,0.0021,0.0021,0.00214,0.00214,0.00081,0.00077,0.00082,0.00079,0.00081,0.00077,0.00082,0.00079,5.93374645,3.38281828,3.90317936,0.776859719,0.466812838,6.05432149,1.48302738,2.17543925
sample_00298,1.00017,0.00024,2.58577E+03,1.29986E+02,2.54033e+19,2.60721e+19,2.62436e+19,2.56296e+19,8.47866e+16,8.47504e+16,8.49547e+16,8.48868e+16,2747930.0,2746750.0,2753380.0,2751180.0,0.00163,0.00164,0.00167,0.00163,0.00076,0.00075,0.00079,0.00079,0.00076,0.00075,0.00079,0.00079,4.52113795,0.481947172,1.96264335,1.63431997,4.33232155,3.54606141,5.19111066,1.6237901
sample_00299,0.987071,0.00026,2.57418E+03,1.29412E+02,2.52185e+19,2.58754e+19,2.55929e+19,2.50974e+19,8.47596e+16,8.48698e+16,8.49298e+16,8.48888e+16,2747060.0,2750630.0,2752570.0,2751240.0,0.00126,0.00123,0.00125,0.00124,0.0008,0.00083,0.00079,0.00081,0.0008,0.00083,0.00079,0.00081,5.082727,5.49112423,0.196816407,3.01916148,2.66354443,6.26265494,3.26219297,1.22207786
sample_00300,0.984957,0.00025,2.57356E+03,1.29338E+02,2.5455e+19,2.55845e+19,2.59374e+19,2.55305e+19,8.47729e+16,8.48596e+16,8.47797e+16,8.49486e+16,2747490.0,2750300.0,2747710.0,2753180.0,0.00168,0.00166,0.00168,0.00166,0.00079,0.00078,0.00079,0.00083,0.00079,0.00078,0.00079,0.00083,1.76018108,3.24361254,5.38134003,1.71527981,5.68665783,4.40845774,0.913171905,1.50879965
sample_00301,0.979182,0.00025,2.55882E+03,1.28860E+02,2.54458e+19,2.53129e+19,2.60543e+19,2.52228e+19,8.48107e+16,8.48718e+16,8.48269e+16,8.47299e+16,2748720.0,2750700.0,2749240.0,2746090.0,0.00136,0.00135,0.00135,0.00134,0.0008,0.00078,0.00081,0.00079,0.0008,0.00078,0.00081,0.00079,4.04101783,5.99760663,4.82926514,0.175246212,2.3603437,2.77250891,2.27869103,1.96225979
sample_00302,0.983003,0.00025,2.56677E+03,1.29027E+02,2.60957e+19,2.57737e+19,2.54667e+19,2.61903e+19,8.49302e+16,8.47278e+16,8.48909e+16,8.48582e+16,2752590.0,2746030.0,2751310.0,2750250.0,0.00156,0.00151,0.00148,0.00153,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,0.00081,2.54911841,6.27714113,1.1182459,0.130232475,0.0707009776,1.76946104,6.21358055,1.54179616
sample_00303,0.99106,0.00024,2.58103E+03,1.29522E+02,2.64574e+19,2.60249e+19,2.52897e+19,2.495e+19,8.47384e+16,8.48688e+16,8.47854e+16,8.48376e+16,2746370.0,2750600.0,2747890.0,2749580.0,0.00151,0.00152,0.00155,0.00152,0.00078,0.00082,0.00081,0.00082,0.00078,0.00082,0.00081,0.00082,5.99861789,0.287034243,1.76934423,4.76287425,2.30735395,2.29303156,1.70530811,3.11132902
sample_00304,0.987929,0.00024,2.56659E+03,1.29000E+02,2.53524e+19,2.61907e+19,2.52319e+19,2.49878e+19,8.49115e+16,8.48609e+16,8.49223e+16,8.48225e+16,2751980.0,2750340.0,2752330.0,2749090.0,0.00152,0.00155,0.00149,0.0015,0.00084,0.0008,0.00078,0.0008,0.00084,0.0008,0.00078,0.0008,3.32285297,6.27520531,2.61561874,4.15406564,2.64214115,0.936306375,1.90169469,0.788510632
sample_00305,0.99131,0.00023,2.57257E+03,1.29322E+02,2.56691e+19,2.55005e+19,2.56547e+19,2.63541e+19,8.48167e+16,8.49786e+16,8.47031e+16,8.48583e+16,2748910.0,2754150.0,2745220.0,2750250.0,0.00124,0.00129,0.00126,0.00129,0.00082,0.00079,0.00076,0.00078,0.00082,0.00079,0.00076,0.00078,5.94257546,4.53706355,1.38172802,5.20433793,1.55431944,2.96708893,0.351862451,5.76751761
sample_00306,0.985882,0.00025,2.56515E+03,1.29129E+02,2.53747e+19,2.5054e+19,2.56838e+19,2.6065e+19,8.49089e+16,8.48074e+16,8.48202e+16,8.48266e+16,2751900.0,2748610.0,2749020.0,2749230.0,0.00167,0.00169,0.00168,0.00169,0.00084,0.00077,0.00079,0.00079,0.00084,0.00077,0.00079,0.00079,3.33464771,1.97331387,5.14165213,0.758000895,5.72553247,3.33431938,0.804524061,6.25751861
sample_00307,0.987166,0.00025,2.58593E+03,1.29824E+02,2.55681e+19,2.51398e+19,2.53719e+19,2.54386e+19,8.47731e+16,8.49177e+16,8.48103e+16,8.48245e+16,2747490.0,2752180.0,2748700.0,2749160.0,0.00155,0.00155,0.00153,0.00155,0.00079,0.00077,0.0008,0.00075,0.00079,0.00077,0.0008,0.00075,2.65231716,0.949959182,4.45247942,4.2216185,5.56385964,4.76976501,1.77689507,0.00860152224
sample_00308,0.989766,0.00024,2.57298E+03,1.29373E+02,2.52306e+19,2.56203e+19,2.57986e+19,2.57783e+19,8.47473e+16,8.48388e+16,8.49976e+16,8.48536e+16,2746660.0,2749620.0,2754770.0,2750100.0,0.00124,0.00123,0.00126,0.00124,0.00081,0.00075,0.00079,0.00076,0.00081,0.00075,0.00079,0.00076,3.54394944,5.9902575,6.04697302,2.02525072,4.41526679,6.02318549,5.02836634,4.25296317
sample_00309,0.987782,0.00025,2.56672E+03,1.29017E+02,2.60044e+19,2.57526e+19,2.53684e+19,2.60034e+19,8.50121e+16,8.4885e+16,8.48951e+16,8.49154e+16,2755240.0,2751120.0,2751450.0,2752100.0,0.00138,0.00139,0.00141,0.0014,0.00082,0.00082,0.00084,0.0008,0.00082,0.00082,0.00084,0.0008,0.954697683,3.36492071,5.63210441,2.74180077,0.925365804,2.31570121,2.81682899,6.01424135
