,k,k_uncert,cpu_time,runtime,fluxQ1,fluxQ2,fluxQ3,fluxQ4,fissQ1,fissQ2,fissQ3,fissQ4,fissEQ1,fissEQ2,fissEQ3,fissEQ4,flux_runcertQ1,flux_runcertQ2,flux_runcertQ3,flux_runcertQ4,fiss_runcertQ1,fiss_runcertQ2,fiss_runcertQ3,fiss_runcertQ4,fissE_runcertQ1,fissE_runcertQ2,fissE_runcertQ3,fissE_runcertQ4,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
sample_00171,0.996421,0.00024,2.58350E+03,1.29668E+02,2.48017e+19,2.51104e+19,2.61942e+19,2.65438e+19,8.47501e+16,8.49891e+16,8.48889e+16,8.47971e+16,2746750.0,2754490.0,2751240.0,2748270.0,0.00141,0.0014,0.00144,0.00147,0.00076,0.00078,0.0008,0.0008,0.00076,0.00078,0.0008,0.0008,3.36037246,3.01600267,5.75530676,3.61763883,3.14734037,3.05678774,4.75178217,5.95968103
sample_00172,0.980433,0.00025,2.56667E+03,1.29176E+02,2.65191e+19,2.58453e+19,2.61088e+19,2.56808e+19,8.49037e+16,8.47829e+16,8.49454e+16,8.47805e+16,2751730.0,2747820.0,2753080.0,2747740.0,0.00143,0.00142,0.00146,0.00148,0.00078,0.00081,0.00077,0.00082,0.00078,0.00081,0.00077,0.00082,2.11922513,1.51600653,6.15690424,6.01045424,2.88680512,1.28973494,2.3647361,2.21075631
sample_00173,0.990999,0.00024,2.56875E+03,1.29313E+02,2.55418e+19,2.66955e+19,2.53838e+19,2.53714e+19,8.47711e+16,8.48869e+16,8.47926e+16,8.48293e+16,2747430.0,2751180.0,2748130.0,2749310.0,0.00145,0.00152,0.00145,0.00146,0.00078,0.00081,0.00081,0.00078,0.00078,0.00081,0.00081,0.00078,3.61889591,5.91432866,2.75223928,2.35996728,0.851187823,5.46646459,2.00598191,5.28564281
sample_00174,0.989245,0.00025,2.58727E+03,1.29938E+02,2.50241e+19,2.60328e+19,2.60238e+19,2.4869e+19,8.48463e+16,8.48391e+16,8.47788e+16,8.49031e+16,2749870.0,2749640.0,2747680.0,2751710.0,0.00154,0.00162,0.00155,0.00154,0.00083,0.00078,0.00083,0.00086,0.00083,0.00078,0.00083,0.00086,3.66081027,5.80192651,1.61035214,4.40141467,4.76631861,3.69648698,1.18011773,3.16395226
sample_00175,0.994784,0.00024,2.59562E+03,1.30439E+02,2.58219e+19,2.51802e+19,2.62139e+19,2.54603e+19,8.49187e+16,8.48188e+16,8.48816e+16,8.48234e+16,2752210.0,2748970.0,2751010.0,2749120.0,0.00151,0.00153,0.00153,0.00146,0.00084,0.00081,0.00077,0.00083,0.00084,0.00081,0.00077,0.00083,0.829384343,6.18577826,5.6242675,4.0415309,2.37742976,4.11504914,6.07555703,2.40890279
sample_00176,0.995783,0.00025,2.58067E+03,1.29755E+02,2.53654e+19,2.49231e+19,2.63028e+19,2.5281e+19,8.48368e+16,8.48461e+16,8.48526e+16,8.48598e+16,2749560.0,2749860.0,2750070.0,2750300.0,0.00154,0.00152,0.00149,0.00145,0.00081,0.0008,0.0008,0.00079,0.00081,0.00079,0.0008,0.00079,1.09398141,2.26113925,4.70824709,0.872264096,3.92671108,4.26402516,0.169167674,1.76406184
sample_00177,0.998284,0.00024,2.58848E+03,1.30045E+02,2.49432e+19,2.59205e+19,2.64975e+19,2.48858e+19,8.49294e+16,8.48105e+16,8.48557e+16,8.46883e+16,2752560.0,2748700.0,2750170.0,2744740.0,0.00148,0.0015,0.00157,0.00155,0.00079,0.00081,0.00077,0.00078,0.00079,0.00081,0.00077,0.00078,3.56819354,0.44547632,1.3048835,1.95641286,3.18328619,4.1539725,4.29192645,3.18314471
sample_00178,0.998201,0.00024,2.58383E+03,1.29764E+02,2.55875e+19,2.6119e+19,2.62161e+19,2.55463e+19,8.49278e+16,8.46609e+16,8.49145e+16,8.48673e+16,2752500.0,2743860.0,2752080.0,2750540.0,0.00142,0.00143,0.00147,0.00143,0.00081,0.0008,0.00079,0.00081,0.00081,0.0008,0.00079,0.00081,0.116916476,4.90511981,3.48494778,2.93506995,4.42109339,4.68970546,2.75698853,5.55336486
sample_00179,0.994412,0.00023,2.58153E+03,1.29857E+02,2.54856e+19,2.5543e+19,2.57489e+19,2.53871e+19,8.48288e+16,8.4804e+16,8.48156e+16,8.47997e+16,2749300.0,2748490.0,2748870.0,2748350.0,0.00129,0.00129,0.00127,0.00127,0.00079,0.00079,0.00081,0.00081,0.00079,0.00079,0.00081,0.00081,1.72171405,2.20808,0.255680249,2.21370843,2.30926547,5.09918778,2.33629482,6.0284158
sample_00180,0.992019,0.00025,2.58249E+03,1.29749E+02,2.55249e+19,2.53316e+19,2.60542e+19,2.66294e+19,8.48207e+16,8.4929e+16,8.48878e+16,8.48036e+16,2749040.0,2752550.0,2751210.0,2748480.0,0.00147,0.00145,0.00149,0.00152,0.0008,0.00081,0.00078,0.00083,0.0008,0.00081,0.00078,0.00083,1.61768535,4.78072475,5.16524906,1.23177361,5.34667327,3.42510455,5.68343732,0.854938792
sample_00181,0.987837,0.00024,2.56832E+03,1.29157E+02,2.50253e+19,2.5069e+19,2.6793e+19,2.56299e+19,8.49206e+16,8.48291e+16,8.48615e+16,8.48521e+16,2752280.0,2749310.0,2750360.0,2750050.0,0.0019,0.00192,0.00196,0.00191,0.00079,0.00079,0.00079,0.00081,0.00079,0.00079,0.00079,0.00081,4.40799617,2.72997419,5.99393488,6.08957903,3.88768106,4.90320456,0.24238377,3.76844509
sample_00182,0.987394,0.00024,2.56804E+03,1.28953E+02,2.49504e+19,2.59474e+19,2.57711e+19,2.51807e+19,8.48667e+16,8.48216e+16,8.49438e+16,8.49146e+16,2750530.0,2749070.0,2753030.0,2752080.0,0.00123,0.00126,0.00122,0.00121,0.0008,0.00084,0.00077,0.00083,0.0008,0.00084,0.00077,0.00083,2.39339042,3.76388573,0.856195012,1.96149327,5.59411493,3.52104264,0.253059144,2.85144081
sample_00183,0.977485,0.00025,2.54873E+03,1.28405E+02,2.55773e+19,2.59361e+19,2.65461e+19,2.57485e+19,8.48248e+16,8.48774e+16,8.48878e+16,8.494e+16,2749170.0,2750880.0,2751210.0,2752910.0,0.00161,0.00166,0.00162,0.00161,0.00075,0.00076,0.00081,0.00079,0.00075,0.00076,0.00081,0.00079,2.96197867,3.3992734,0.689366263,5.64331737,2.16013652,5.53969185,3.00775636,1.94895764
sample_00184,0.994603,0.00024,2.58348E+03,1.29871E+02,2.57864e+19,2.52087e+19,2.52267e+19,2.57065e+19,8.47646e+16,8.49327e+16,8.47882e+16,8.47764e+16,2747220.0,2752670.0,2747980.0,2747600.0,0.00137,0.00138,0.00141,0.00139,0.00081,0.00076,0.00077,0.0008,0.00081,0.00076,0.00077,0.0008,1.75195383,0.651138306,5.76652272,2.04076315,5.67430422,5.06678569,5.95388758,4.45327706
sample_00185,0.990598,0.00024,2.57617E+03,1.29425E+02,2.55942e+19,2.63245e+19,2.52034e+19,2.50126e+19,8.48815e+16,8.47971e+16,8.49461e+16,8.48473e+16,2751010.0,2748270.0,2753100.0,2749900.0,0.00169,0.0017,0.00172,0.00175,0.00082,0.00079,0.00077,0.00084,0.00081,0.00079,0.00077,0.00084,4.70301829,6.25890167,3.1265747,2.6789215,1.12847448,2.63387773,0.471745715,3.23898775
sample_00186,0.99017,0.00025,2.57510E+03,1.29472E+02,2.50119e+19,2.63318e+19,2.49167e+19,2.49793e+19,8.48936e+16,8.47997e+16,8.47532e+16,8.4803e+16,2751400.0,2748350.0,2746850.0,2748460.0,0.00133,0.00141,0.00133,0.00129,0.00078,0.0008,0.00086,0.00078,0.00078,0.0008,0.00086,0.00078,2.37799024,5.01237137,1.50591742,2.57513008,1.79814866,0.940321863,0.83070785,4.40074302
sample_00187,0.979982,0.00024,2.55596E+03,1.29175E+02,2.56997e+19,2.5985e+19,2.5445e+19,2.56654e+19,8.4821e+16,8.49142e+16,8.48742e+16,8.48618e+16,2749050.0,2752070.0,2750770.0,2750370.0,0.0015,0.00147,0.0015,0.00154,0.00083,0.0008,0.00079,0.00081,0.00083,0.0008,0.00079,0.00081,4.99803756,5.00974162,1.58185707,0.545052863,1.50608789,1.3869052,0.975874796,1.29108226
sample_00188,0.994264,0.00024,2.58160E+03,1.29692E+02,2.66399e+19,2.56266e+19,2.49918e+19,2.49449e+19,8.49758e+16,8.48123e+16,8.47864e+16,8.47908e+16,2754060.0,2748760.0,2747920.0,2748070.0,0.00166,0.00162,0.00159,0.00158,0.00082,0.00079,0.00083,0.00077,0.00082,0.00079,0.00083,0.00077,0.455287626,0.901573398,2.84178681,0.824491696,2.70749963,0.525806758,0.993277628,3.5068272
sample_00189,0.985867,0.00025,2.57957E+03,1.30234E+02,2.58127e+19,2.48671e+19,2.50317e+19,2.62098e+19,8.48098e+16,8.4738e+16,8.48895e+16,8.48743e+16,2748680.0,2746360.0,2751270.0,2750770.0,0.00151,0.00152,0.00151,0.00155,0.00085,0.00081,0.00074,0.00082,0.00085,0.00081,0.00074,0.00082,0.49390285,3.54288688,5.6637642,5.01728577,5.63881031,1.2724676,0.455216485,0.160670624
sample_00190,0.985661,0.00023,2.57068E+03,1.29247E+02,2.59428e+19,2.66178e+19,2.56129e+19,2.55255e+19,8.48896e+16,8.49086e+16,8.48479e+16,8.48151e+16,2751270.0,2751890.0,2749920.0,2748860.0,0.00138,0.00143,0.00145,0.00142,0.00077,0.0008,0.0008,0.0008,0.00077,0.0008,0.0008,0.0008,1.71170988,3.55462764,3.53904881,2.54054784,1.81350942,1.53427489,1.74144013,3.95441381
sample_00191,0.995905,0.00025,2.58632E+03,1.29972E+02,2.46981e+19,2.44452e+19,2.6329e+19,2.60237e+19,8.48938e+16,8.48487e+16,8.49183e+16,8.4862e+16,2751400.0,2749940.0,2752200.0,2750380.0,0.00127,0.00127,0.00129,0.00127,0.00074,0.0008,0.00075,0.00083,0.00074,0.0008,0.00075,0.00083,5.61458714,3.97361704,4.71029367,5.62271634,3.26633703,3.93300671,4.45634364,0.326926099
sample_00192,0.988239,0.00024,2.56608E+03,1.29031E+02,2.62383e+19,2.58174e+19,2.62273e+19,2.64321e+19,8.47634e+16,8.4825e+16,8.48422e+16,8.47985e+16,2747180.0,2749180.0,2749730.0,2748320.0,0.00133,0.00132,0.0013,0.00128,0.00081,0.00078,0.00079,0.00078,0.00081,0.00078,0.00079,0.00078,5.81754369,2.97976149,4.63527093,4.03963365,5.6857702,3.53246748,5.9266208,3.9160168
sample_00193,0.994981,0.00025,2.58335E+03,1.29849E+02,2.59673e+19,2.58781e+19,2.52479e+19,2.50344e+19,8.49169e+16,8.48208e+16,8.48254e+16,8.48123e+16,2752150.0,2749040.0,2749190.0,2748760.0,0.00144,0.00139,0.00137,0.00139,0.00079,0.00078,0.00086,0.0008,0.00079,0.00078,0.00086,0.0008,0.185369703,6.04103741,3.29833755,3.28729189,1.00682274,4.05001315,3.35264763,4.22154292
sample_00194,0.996615,0.00024,2.57893E+03,1.29659E+02,2.60121e+19,2.70161e+19,2.55657e+19,2.53767e+19,8.48698e+16,8.48315e+16,8.50361e+16,8.46707e+16,2750630.0,2749380.0,2756010.0,2744170.0,0.00179,0.00178,0.00175,0.0018,0.00079,0.0008,0.0008,0.00078,0.00079,0.0008,0.0008,0.00078,4.74316892,0.407618235,2.12936065,2.86003075,5.80741574,5.04684606,1.14662787,0.556416562
